audio_id	source_filename	source_relative_path	youtube_video_id	file_size_mb	duration_seconds	sample_rate_hz	channels	imported_at
audio-0302	0302 - OtherLivesBand - Other Lives - We Wait (Official Visualizer) [A0yzwaZeyKo].webm	0302 - OtherLivesBand - Other Lives - We Wait (Official Visualizer) [A0yzwaZeyKo].webm	A0yzwaZeyKo	3.546750068664551	219.9278125	48000	2	2026-09-09 04:09:58
audio-0303	0303 - Lorde - Lorde - Royals (US Version) [nlcIKh6sBtc].webm	0303 - Lorde - Lorde - Royals (US Version) [nlcIKh6sBtc].webm	nlcIKh6sBtc	3.2535104751586914	200.08635416666667	48000	2	2026-09-09 04:09:58
audio-0304	0304 - Peter Sommer - Hvis Bare Jeg Ku' [ZL-zhop-vKg].webm	0304 - Peter Sommer - Hvis Bare Jeg Ku' [ZL-zhop-vKg].webm	ZL-zhop-vKg	1.607318878173828	97.2	48000	2	2026-09-09 04:09:59
audio-0305	0305 - Adult Contemporary - Matylda⧸Łukasiewicz - Matka [Emcpp_-Ur4w].webm	0305 - Adult Contemporary - Matylda⧸Łukasiewicz - Matka [Emcpp_-Ur4w].webm	Emcpp_-Ur4w	3.916715621948242	244.48291666666665	48000	2	2026-09-09 04:09:59
audio-0306	0306 - Mariama - MARIAMA - ＂No Way＂ [official video] [imM3VYyObhI].webm	0306 - Mariama - MARIAMA - ＂No Way＂ [official video] [imM3VYyObhI].webm	imM3VYyObhI	3.2449893951416016	208.0508125	48000	2	2026-09-09 04:09:59
audio-0307	0307 - Adult Contemporary - Matylda⧸Łukasiewicz - Nie stało się nic (Mierzeja 2 ｜ Empik Go) [_rHfLhO3qgk].webm	0307 - Adult Contemporary - Matylda⧸Łukasiewicz - Nie stało się nic (Mierzeja 2 ｜ Empik Go) [_rHfLhO3qgk].webm	_rHfLhO3qgk	3.303955078125	214.93333333333337	48000	2	2026-09-09 04:09:59
audio-0308	0308 - Gossip Music Official - Gossip - Heavy Cross (Official Video) [5mQVljB7JGw].webm	0308 - Gossip Music Official - Gossip - Heavy Cross (Official Video) [5mQVljB7JGw].webm	5mQVljB7JGw	3.988924026489258	243.28708333333333	48000	2	2026-09-09 04:09:59
audio-0309	0309 - Jerzy Satanowski - Ewa Błaszczyk： Orszaki Dworaki [BcvcFw3xYuk].webm	0309 - Jerzy Satanowski - Ewa Błaszczyk： Orszaki Dworaki [BcvcFw3xYuk].webm	BcvcFw3xYuk	2.3309926986694336	148.41035416666668	48000	2	2026-09-09 04:09:59
audio-0310	0310 - DO IT YOURSELF - GALA - Freed from desire [Official 4K Video] [p3l7fgvrEKM].webm	0310 - DO IT YOURSELF - GALA - Freed from desire [Official 4K Video] [p3l7fgvrEKM].webm	p3l7fgvrEKM	3.1400251388549805	213.97189583333332	48000	2	2026-09-09 04:10:00
audio-0311	0311 - HILDA LÄNSMAN, Tuomas Norvio, Hildá Länsman - Čuojahat Mu [Mhngx2Ftr1U].webm	0311 - HILDA LÄNSMAN, Tuomas Norvio, Hildá Länsman - Čuojahat Mu [Mhngx2Ftr1U].webm	Mhngx2Ftr1U	4.269903182983398	262.96	48000	2	2026-09-09 04:10:00
audio-0312	0312 - The Flaming Piano - Erik Satie - Gnossienne No. 1 [lqZehFAwoTM].webm	0312 - The Flaming Piano - Erik Satie - Gnossienne No. 1 [lqZehFAwoTM].webm	lqZehFAwoTM	4.533708572387695	250.2530625	48000	2	2026-09-09 04:10:00
audio-0313	0313 - Ekler - POLO & PAN - Dorothy (official video) [hVW63Z_8deE].webm	0313 - Ekler - POLO & PAN - Dorothy (official video) [hVW63Z_8deE].webm	hVW63Z_8deE	4.344714164733887	270.04808333333335	48000	2	2026-09-09 04:10:00
audio-0314	0314 - Adult Contemporary - Polskie Znaki feat. Mark Lanegan - Oh Angel [CRT1tMUDgKg].webm	0314 - Adult Contemporary - Polskie Znaki feat. Mark Lanegan - Oh Angel [CRT1tMUDgKg].webm	CRT1tMUDgKg	3.8242311477661137	226.41066666666663	48000	2	2026-09-09 04:10:00
audio-0315	0315 - FONOBO Label - Maja Kleszcz & incarNations - Zanim Wstanie Miasto [pUK8PLWWWE0].webm	0315 - FONOBO Label - Maja Kleszcz & incarNations - Zanim Wstanie Miasto [pUK8PLWWWE0].webm	pUK8PLWWWE0	4.098590850830078	258.5658125	48000	2	2026-09-09 04:10:01
audio-0316	0316 - Gaiea Sanskrit - DURGĀ SŪKTAM ｜ Sanskrit Vedic Chanting ｜ Mantra for Great Courage & Protection [Mcxy98HUTkg].webm	0316 - Gaiea Sanskrit - DURGĀ SŪKTAM ｜ Sanskrit Vedic Chanting ｜ Mantra for Great Courage & Protection [Mcxy98HUTkg].webm	Mcxy98HUTkg	5.063682556152344	309.9283541666667	48000	2	2026-09-09 04:10:01
audio-0317	0317 - Gaiea Sanskrit - Shiva Sankalpa Suktam ｜ Sanskrit Vedic Mantra ｜ Pure Resolution for the Mind [oHt1eBc3g8M].webm	0317 - Gaiea Sanskrit - Shiva Sankalpa Suktam ｜ Sanskrit Vedic Mantra ｜ Pure Resolution for the Mind [oHt1eBc3g8M].webm	oHt1eBc3g8M	7.508642196655273	445.17297916666666	48000	2	2026-09-09 04:10:01
