lyrics_id,lyrics_text
lyrics-000817,"om
benzar sato sa ma ya
ma nu pa la ya
benzar sato te no pa
tishtha dri dho me bha wa
su to ka yo me bha wa
su po ka yo me bha wa
anu rakto me bha wa
sarva siddhi me pra yatsa
sarva karma su tsa me
tsittam shre yam ku ru
hung
ha
ho
bha ga wan sarva ta tha ga ta
benzra ma me muntsa
benzri bha wa
ma ha sa ma ya sato
ah"
lyrics-000818,"Sole alla valle e sole alla collina
Per le campagne non c'è più nessuno

Addio, addio, amore
Io vado via
Amara terra mia
Amara e bella

Cieli infiniti e volti come pietra
Mani incallite ormai senza speranza

Addio, addio, amore
Io vado via
Amara terra mia
Amara e bella

Fra gli uliveti è nata già la luna
Un bimbo piange e allatta un seno magro

Addio, addio, amore
Io vado via
Amara terra mia
Amara e bella"
lyrics-000819,"Swinging in the backyard
Pull up in your fast car
Whistling my name

Open up a beer
And you say, ""Get over here
And play a video game""

I'm in his favourite sundress
Watchin' me get undressed
Take that body downtown

I say, ""You the bestest""
Lean in for a big kiss
Put his favourite perfume on
Go play your video game

It's you, it's you, it's all for you
Everything I do
I tell you all the time
Heaven is a place on earth with you
Tell me all the things you wanna do
I heard that you like the bad girls
Honey, is that true?

It's better than I ever even knew
They say that the world was built for two
Only worth living if somebody is loving you
And, baby, now you do

Singin' in the old bars
Swingin' with the old stars
Livin' for the fame

Kissin' in the blue dark
Playin' pool and wild darts
Video games

He holds me in his big arms
Drunk and I am seeing stars
This is all I think of

Watchin' all our friends fall
In and out of Old Paul's
This is my idea of fun
Playin' video games

It's you, it's you, it's all for you
Everything I do
I tell you all the time
Heaven is a place on earth with you
Tell me all the things you wanna do
I heard that you like the bad girls
Honey, is that true?

It's better than I ever even knew
They say that the world was built for two
Only worth living if somebody is loving you
And, baby, now you do

(Now, now you do)
(Now you do)
(Now you do)
(Now, now you do)
(Now you do)
(Now you do)

It's you, it's you, it's all for you
Everything I do
I tell you all the time
Heaven is a place on earth with you
Tell me all the things you wanna do
I heard that you like the bad girls
Honey, is that true?

It's better than I ever even knew
They say that the world was built for two
Only worth living if somebody is loving you
And, baby, now you do

(Now, now you do) Hmm, hmm, hmm
(Now you do)
(Now you do)
Now you do
(Now, now you do)
(Now you do)
(Now you do)"
lyrics-000820,"Patrzę na twoją fotografię
Którą dziś przysłałeś mi
I wypowiedzieć nie potrafię
Męki tych ostatnich dni
Dziś przebolałam już
Wszystko zapomniałam już
Wszystko zrozumiałam i wiem

Już nigdy
Nie usłyszę kochanych twych słów
Już nigdy
Do mych ust nie przytulę cię znów
Na zawsze
Pozostaną dni smutku i mąk
Nie oplecie pieszczotą mnie w krąg
Biel twoich rąk
Już nigdy

Już nigdy
Jak okrutnie dwa słowa te brzmią
Już nigdy
Nie zobaczę twych oczu za mgłą
Odszedłeś
Jakże trudno pogodzić się z tym
Że nie wrócisz ni nocą, ni dniem
Myślą ni snem
Już nigdy

Czyż można samym żyć wspomnieniem
Echem zapomnianych burz?
Byłeś mi wszystkim - jesteś cieniem
Tego, co umarło już
Żegnaj, kochany mój
I niezapomniany mój
Sercem całowany mój śnie

Już nigdy
Jak okrutnie dwa słowa te brzmią
Już nigdy
Nie zobaczę twych oczu za mgłą
Odszedłeś
Jakże trudno pogodzić się z tym
Że nie wrócisz ni nocą, ni dniem
Myślą ni snem
Już nigdy"
lyrics-000821,"Se ti fanno un po' soffrire
Perdonali perché
Non sanno cosa fanno
Io soffro come te
Se il tuo sorriso triste
Non li ha convinti mai
Tu non li devi odiare
Perdonali se puoi
Qualcuno deve amare
E lo faremo noi

One, two, three, four

Sha-la-la-la-la-la
Piangi con me
Sha-la-la-la-la-la
Piangi con me
Domani forse cambierà, vedrai
Sha-la-la-la-la-la
Piangi con me
Piangi con me

Se ti fanno un po' soffrire
Perdonali perché
Non sanno cosa fanno
Io soffro come te
Se il tuo sorriso triste
Non li ha convinti mai
Tu non li devi odiare
Perdonali se puoi
Qualcuno deve amare
E lo faremo noi

One, two, three, four

Sha-la-la-la-la-la
Piangi con me
Sha-la-la-la-la-la
Piange con me
Domani forse cambierà, vedrai
Sha-la-la-la-la-la
Piangi con me
piangi con me

Baby, oh, oh, oh, baby, ascoltami
Baby, baby, ascoltami
Devi essere forte
Tu devi essere forte insieme a me
Baby, insieme a me, baby
Oh-oh-oh, baby
Oh-oh-oh, baby
Insieme a me
Insieme a me

Sha-la-la-la-la-la
piangi con me
Sha-la-la-la-la-la
piangi con me
Domani forse cambierà, vedrai
Sha-la-la-la-la-la
Piangi con me (piangi con me)
Sha-la-la-la-la-la
Piangi con me (baby, baby)

Sha-la-la-la-la-la
Piangi con me
Sha-la-la-la-la-la
Piangi con me (piangi con me)"
lyrics-000822,"You wanna know if I know why?
I can't say that I do
Don't understand the evil eye
Or how one becomes two
And I just can't recall what started it all
Or how to begin in the end
I ain't here to break it
Just see how far it will bend
Again and again, again and again

I wanna make it
I wanna make it wit chu
Anytime, anywhere
I wanna make it (again and again)
I wanna make it wit chu

Sometimes the same is different
But mostly it's the same
These mysteries of life
That just ain't my thing
If I told you that I knew about the sun and the moon
I'd be untrue
The only thing I know for sure
Is what I wanna do
Anytime, anywhere, and I say babe

I wanna make it (again and again)
I wanna make it wit chu
Anytime, anywhere
I wanna make it (again and again)
I wanna make it wit chu
I wanna make it (anytime, anywhere)
I wanna make it wit chu (yeah)
I wanna make it
I wanna make it wit chu

I wanna make it (again and again)
I wanna make it wit chu
I wanna make it (anytime, anywhere)
I wanna make it wit chu
I wanna make it (again and again)
I wanna make it wit chu
I wanna make it (again and again and again and again)"
lyrics-000823,"Kto ty jesteś, człowieku?
Kto ty jesteś, człowieku?
Zbrodniarz, czy bohater?
Ty, którego do czynu
Wychowała noc
Oto starca i dziecka
W ręku dzierżysz los
I twarz twoja zakryta
Jak Golem nad światem

Czy obrócisz w popioły
Miasto czy ojczyznę?
Stój! Zadrżyj w sercu swoim
Nie umywaj rąk
Nie oddawaj wyroku
Niespełnionym dziejom
Twoja jest waga
I twój jest miecz

Ty ponad ludzką troską
Gniewem i nadzieją
Ocalasz albo gubisz
Pospolitą rzecz

Ty jesteś dobry
I w gronie rodziny
Pieściłeś nieraz blask
Dziecinnych głów
Ale jeżeli przeklnie Ciebie
Milion rodzin, biada co pozostanie z Twoich dobrych dni
Co pozostanie z Twoich krzepkich mów.

Ciemność nadchodzi...

Gwarne miasta i pola
Kopalnie, okręty
Na twojej dłoni ludzkiej
Jakże ludzkiej
Patrz: linia twego życia
Tędy będzie szła

Trzykroć błogosławiony
Po trzykroć przeklęty
Władco dobra lub zła
Władco dobra, albo władco zła"
lyrics-000824,"I'm comin' up so you better get this party started
I'm comin' up so you better get this party started

Get this party started on a Saturday night
Everybody's waitin' for me to arrive
Sendin' out the message to all of my friends
We'll be lookin' flashy in my Mercedes Benz

I got lotsa style, got my gold diamond rings
I can go for miles if you know what I mean

I'm comin' up so you better get this party started
I'm comin' up so you better get this party started

Pumpin up the volume, breakin down' to the beat
Cruisin' through the west side
We'll be checkin' the scene

Boulevard is freakin' as I'm comin' up fast
I'll be burnin' rubber, you'll be kissin' my ass

Pull up to the bumper, get out of the car
License plate says Stunner number one Superstar
I'm comin' up so you better get this party started
I'm comin' up so you better get this party started
Get this party started

Makin' my connection as I enter the room
Everybody's chillin' as I set up the groove
Pumpin' up the volume with this brand new beat
Everybody's dancin' and their dancin' for me

I'm your operator, you can call anytime
I'll be your connection to the party line

I'm comin' up so you better get this party started
I'm comin' up so you better get this party started
I'm comin' up so you better get this party started
I'm comin' up so you better get this party started

Get this party started
Get this party started right now
Get this party started
Get this party started
Get this party started right now"
lyrics-000825,"До господи прилетіла щедрівочка
Вона звістує про добрий рік
Про достаток у домі
Про приплід у господарстві
Про хліб і багатство
Про радість для родини
Пісня бажає господарю щастя
І добробуту в новому році"
lyrics-000826,"A small winter bird comes to the house
It carries news of a generous year
The fields will be kind
The animals will multiply
The table will not be empty
The home will know warmth
The family will prosper
And the season will turn toward abundance"
