audio_number	audio_id	youtube_video_id	audio_artist	audio_title	audio_artist_parsed	audio_title_parsed	candidate_utwu_id	candidate_spotify_order	candidate_artist	candidate_title	candidate_artist_parsed	candidate_title_parsed	score	artist_score	title_score	gap_to_second	quality	second_utwu_id	second_artist	second_title	second_score
224	audio-0224	S7sN-cFhwuk	sanah	Szampan (Official Video)	sanah	szampan official video	utwu-000715	224	sanah	Szampan	sanah	szampan	1.0000	1.0000	1.0000	0.4869	exact	utwu-000454	Morse	Shaman	0.5131
225	audio-0225	qwi6POwtfnc	Balthazar	Bunker (Official Video)	balthazar	bunker official video	utwu-000716	223	Balthazar	Bunker	balthazar	bunker	1.0000	1.0000	1.0000	0.3300	exact	utwu-000119	Balthazar	True Love	0.6700
226	audio-0226	sSD9ePFUkvM	Nothing But Thieves	Is Everybody Going Crazy? (Official Video)	nothing but thieves	is everybody going crazy official video	utwu-000717	222	Nothing But Thieves	Is Everybody Going Crazy?	nothing but thieves	is everybody going crazy	1.0000	1.0000	1.0000	0.5911	exact	utwu-000044	Peter Gabriel	My Body Is A Cage	0.4089
227	audio-0227	5hMCc9_rCMI	Rag'n'Bone Man	Be the Man (Official Audio)	rag n bone man	be the man official audio	utwu-000718	221	Rag'n'Bone Man	Be the Man	rag n bone man	be the man	1.0000	1.0000	1.0000	0.2567	exact	utwu-000012	Rag'n'Bone Man	Human	0.7433
228	audio-0228	-jPdXvoU1H0	Islandman	Agit - 0125	islandman	agit 0125	utwu-000690	249	islandman	Agit	islandman	agit	0.8167	1.0000	0.6667	0.4297	medium	utwu-000225	Rémi Panossian	Paint It Black	0.3870
229	audio-0229	0AMQKQ3nSHg	Elias Dris	BEATNIK OR NOT TO BE (official video)	elias dris	beatnik or not to be official video	utwu-000691	248	Elias Dris	BEATNIK OR NOT TO BE	elias dris	beatnik or not to be	1.0000	1.0000	1.0000	0.5279	exact	utwu-000680	Elina Duni	Amara Terra Mia	0.4721
230	audio-0230	hQE4DDvKLtg	The Flabbies	Nosedive	the flabbies	nosedive	utwu-000692	247	The Flabbies	Nosedive	the flabbies	nosedive	1.0000	1.0000	1.0000	0.4534	exact	utwu-000407	The Bees	Winter Rose	0.5466
231	audio-0231	-U12yBnxXX8	Raz Ohara	See It Coming (Original Mix)	raz ohara	see it coming original mix	utwu-000693	246	Raz Ohara	See It Coming	raz ohara	see it coming	0.8625	1.0000	0.7500	0.3778	medium	utwu-000426	Bukahara	Storytelling Animal	0.4847
232	audio-0232	eg6oam97C3g	Kapitan Korsakov	In the Shade of the Sun (music video)	kapitan korsakov	in the shade of the sun music video	utwu-000694	245	Kapitan Korsakov	In the Shade of the Sun	kapitan korsakov	in the shade of the sun	1.0000	1.0000	1.0000	0.5323	exact	utwu-000281	Carmen McRae	The Sound of Silence	0.4677
233	audio-0233	R9jQwMXQvmE	Apes & Horses	The Fields	apes horses	the fields	utwu-000695	244	Apes & Horses	The Fields	apes | horses	the fields	1.0000	1.0000	1.0000	0.4147	exact	utwu-000439	Frazey Ford	September Fields	0.5853
